entity_text_1	entity_text_2	label
database traditional information retrieval techniques use a	histogram of keywords as the	USAGE
representation but oral communication may offer	offer additional indices such as	USAGE
a large database of tv	database of tv shows emotions and	PART_WHOLE
of a distributed message-passing infrastructure for dialogue	infrastructure for dialogue systems which all	MODEL-FEATURE
laboratory) the cclinc korean-to-english translation system consists of	of two core modules language understanding	PART_WHOLE
robust efficient parsing of korean	parsing of korean (a verb	USAGE
korean (a verb final language with overt	language with overt case markers relatively free	MODEL-FEATURE
high quality translation via word	translation via word sense disambiguation and accurate	USAGE
of applying automated evaluation techniques originally human	to the output of machine	USAGE
at the intelligibility of mt	intelligibility of mt output a language	MODEL-FEATURE
integrate a spoken language understanding system with intelligent	system with intelligent mobile agents that mediate	PART_WHOLE
that simple interpolation methods like log-linear	improve the performance but fall	RESULT
selects the word string with the	the best performance (typically, word	RESULT
where each word string has been	a different lm actually, oracle	RESULT
like a dynamic combiner with hard	using the reference we dynamic	USAGE
for a dynamic language model combination to improve	improve the performance further oracle	RESULT
to tagging lms with confidence	lms with confidence measures and picking	MODEL-FEATURE
to the lm with the	the best confidence	MODEL-FEATURE
models and error-correction rules for thai	rules for thai key prediction and thai-english	USAGE
algorithm applying mutual information to reduce	reduce the error-correction rules our accuracy	USAGE
than 99% accuracy in both	in both language identification and key	RESULT
of possible sentence plans for a	a given text-plan input second, sentence-plan-ranker	MODEL-FEATURE
spr uses ranking rules automatically learned	learned from training data we spr	USAGE
select a sentence plan whose rating	than the top human-ranked sentence plan	COMPARE
on the retrieval performance of a	of a translation memory system we bag-of-words	RESULT
of both bag-of-words and segment order-sensitive string comparison methods and character-	over both character- and word-segmented data in local	USAGE
find that indexing according to	to simple character bigrams produces a	USAGE
optimum configuration bag-of-words methods are shown	equivalent to segment order-sensitive methods in terms	COMPARE
of the range concatenation grammar [rcg] formalism has revealed	used in nlp in range	USAGE
in particular, range concatenation languages [rcl] can be	parsed in polynomial time and many	MODEL-FEATURE
rcg any tree adjoining grammar can be	parsed in o(n6) time in parsing	MODEL-FEATURE
study a parsing technique whose purpose	efficiency of rcl parsers the non-deterministic	USAGE
by a guide which uses	uses the shared derivation forest output by	USAGE
a prior rcl parser for a	a suitable superset of l the wide	USAGE
while paraphrasing is critical	both for interpretation and generation of natural language current paraphrases	USAGE
present an unsupervised learning algorithm for identification	algorithm for identification of paraphrases from a	USAGE
presents a formal analysis for a	words called alternative markers which other	TOPIC
that the performance of a	of the formal analysis that is	RESULT
as the operational semantics of natural	semantics of natural language applications improve, even	PART_WHOLE
and a learning algorithm from structured	algorithm from structured data (based on	USAGE
whether the quality of utterances	quality of utterances produced with	MODEL-FEATURE
produced with trainable components can compete	compete with hand-crafted template-based or rule-based approaches in trainable	COMPARE
evaluate a trainable sentence planner for a	for a spoken dialogue system by eliciting	USAGE
that the trainable sentence planner performs better	than the rule-based systems and the	COMPARE
construction of statistical models of wh-questions	models of wh-questions these models	MODEL-FEATURE
built from shallow linguistic features of questions	features of questions are user's	MODEL-FEATURE
of the predictive performance of our	of our models including training	RESULT
of various training and testing factors on predictive	factors on predictive performance and	RESULT
method for utterance classification that does	not require manual transcription of training	USAGE
using conventional word-trigram recognition requiring manual	recognition requiring manual transcription in unsupervised	USAGE
our method, unsupervised training is first	train a phone n-gram model for a	USAGE
; the output of recognition	to a phone-string classifier the classification	USAGE
developed a multi-strategy and multi-source approach to question answering which is	from different answering agents searching for	USAGE
searching for answers in multiple	in multiple corpora the answering	PART_WHOLE
corpora the answering agents adopt fundamentally	utilizing primarily knowledge-based mechanisms and the	USAGE
of our answer resolution algorithm show a	over our baseline system in the	COMPARE
task of scoring alternative speech	scoring alternative speech recognition hypotheses (srh) in terms	USAGE
in a german corpus of 2.284	of 2.284 srhs as either	PART_WHOLE
explain why phrase-based models outperform word-based	models outperform word-based models our language	COMPARE
simple means: heuristic learning of phrase	translations from word-based alignments and lexical	USAGE
alignments and lexical weighting of phrase	weighting of phrase translations surprisingly, phrases	MODEL-FEATURE
and learning phrases from high-accuracy	phrases from high-accuracy word-level alignment models does not	PART_WHOLE
system the model is designed	use in error correction with post-processing	USAGE
focus on post-processing the output	post-processing the output of black-box	USAGE
of the model based on	based on finite-state models demonstrate model	USAGE
demonstrate the model 's ability	significantly reduce character and word error rate and automatic	RESULT
