Id,Word
34,but
19219,apt
293,reported
503,groups
48913,slavonic
7070,marcus
45209,clustering
79856,bootstrap
4640,valuable
4968,preferred
136385,unordered
35890,'95
23821,cf
220925,bio-medical
12925,weaknesses
272833,abductive
3029,walked
16549,pairing
18146,respectful
33364,pos
1257,date
29334,facilitates
6509,firmly
4553,demonstrations
11628,filter
3847,principle
3420,p
7037,convert
719,body
8743,weighted
20299,imitation
21699,erroneous
2784,imposed
45263,memorize
5025,l
299551,tractability
101112,reduplication
143500,connectives
9434,functional
1528,powerful
2233,communities
1372,independence
933,data
15065,spontaneous
4382,counts
21227,unix
103557,inapplicable
3405,educational
20213,ambiguity
1276,practice
30021,resultant
33526,anchoring
10340,theoretical
16162,compression
2747,indeed
59218,retrieves
1113,particularly
122348,corrector
48625,syntactic
6223,approaches
70124,modifier
51582,correlations
841,try
13450,downstream
18222,spatial
6748,decrease
24300,topical
1987,heads
1506,quality
2891,category
8894,practically
7296,gen
34378,salient
4092,error
24016,interfaces
26947,converse
1516,software
1912,items
67829,nigam
602,index
890,turn
86977,semantically
15041,render
14614,dominates
16347,lyric
380,development
18704,fragment
13757,interpretations
23020,scanned
21558,constrained
53023,duplicating
3447,fixed
43402,gaussian
31017,qualitative
2317,therefore
1707,draw
2145,scoring
92,state
2969,tells
9106,spelling
12992,satisfying
19489,listener
14510,pioneered
2376,links
2802,computers
4621,lie
31102,tiers
31549,gui
15315,genuinely
17938,uncover
6395,aspect
24721,elaborated
1129,break
3399,h.
36447,maximal
732,technology
19165,collaborations
5240,derived
40661,motivates
16646,ensures
12281,stack
3877,principles
3153,obtained
111714,knowledge-based
7111,successive
5472,improvements
3606,besides
5124,mechanism
190,take
10584,combines
10800,explored
6820,capability
179061,referents
49766,underlies
51997,hmm
2646,1983
114620,mimo
27377,optimum
11842,corrected
1126,coalition
107,may
63498,declarative
22756,rhetorical
717,closed
1913,benefits
10588,reduces
1616,70
266,women
1966,push
1044,parts
2441,ends
1069,above
1487,laws
383129,bakeoff
1190,build
13601,baseline
4847,telecom
325,air
576,site
178918,flexibilities
24822,reliably
81,you
5357,hk
2951,infrastructure
21481,motivate
3744,equivalent
126896,disjunctive
16673,utilize
40600,triplets
473,human
6525,87
7130,boosting
224845,recomposed
575,enough
48704,cooperatively
7489,inventories
511,change
34182,acl
26479,optimization
5230,script
34148,conventionally
5656,rely
42,which
1466,foundation
1065,step
248935,nlg
78023,topmost
223191,human-machine
1780,carrying
19505,dependency
76063,'91
118982,histogram
50496,categorization
165371,monotonically
31197,interchangeable
109,many
1699,organizations
192441,1.
12701,mapping
1646,supply
13978,alignment
3262,covers
74486,epistemological
863,space
643,exchange
197587,vme
48349,synthesize
320910,quot
29479,zoological
451,decision
7487,ordering
4885,update
772,cost
14517,outlines
38585,fragmentary
107236,corpora
35750,iteration
3546,partly
3475,suggests
9704,systematic
13701,inherent
5046,establishing
308817,conceptualizes
3230,moderate
29539,conveying
4801,visible
5823,moreover
6603,assess
20860,generalized
825,operations
4182,passage
7651,logic
532,per
150008,fine-tuning
15856,ubiquitous
2800,purpose
4753,procedure
2300,finding
197,how
4986,arguments
14904,shortcomings
26779,tutoring
2029,numerous
318254,anaphoric
24502,constructions
60075,antecedent
23110,expressive
5474,arabic
9977,lend
31544,lf
3771,occur
194956,multi-site
28094,demonstrator
3509,aim
2111,offering
418,11
2008,slightly
5403,e.g.
4544,merely
901,offer
84,no
11901,constraints
1283,student
4062,frequent
143745,inverses
54041,combinatorial
178293,mrr
37325,small-scale
12414,cognitive
10288,settings
41591,programmable
4669,processing
53490,kamp
794,situation
4848,knight
124782,syntactical
10317,paths
819,ii
7817,workshop
1156,potential
39945,modal
3824,employed
477,total
47472,lms
63604,discontinuous
1841,defeat
155559,predicative
459,industry
9378,orientation
8188,symbols
69290,bibliographic
928,followed
3283,birds
328939,non-monotonic
5534,similarly
6491,walks
27522,computation
3533,crossing
1612,store
299311,feature-rich
19464,incorporation
1432,goes
19212,"23,000"
16817,maximize
14999,gb
42662,transliteration
21111,distinctions
2100,engine
24671,identifiable
77709,decoders
1562,stories
9242,clues
2358,machine
3765,bound
226307,orthographical
4101,operates
9742,editing
24710,dialog
37158,tl
22016,contexts
34339,etc
4083,gene
12711,structured
1200,dropped
1116,60
24488,localized
1708,bus
16596,representations
976,runs
2756,output
204497,rejoinders
1141,spanish
95833,monolingual
205,foreign
6466,criteria
159698,inter-related
1555,planning
11890,generators
171850,speech/language
55,two
1265,figure
387,france
389,point
15803,insured
18682,node
1567,improve
86725,bottom-up
122996,multi-lingual
66609,algorithmic
4988,rough
2385,walk
8118,disk
1886,90
9642,adopting
14139,validity
14336,capitalization
5974,initiated
2125,none
106081,paraphrases
8311,suite
9038,consultation
1343,0
2326,coverage
36339,mixtures
17990,summaries
6552,prague
7637,objectives
4599,object
6566,guided
5064,judgment
4001,interesting
3536,resulting
34522,adequacy
76,last
4800,solutions
3885,recommended
62028,interlocutor
12449,exploited
18374,affinity
1504,necessary
83328,expressiveness
377683,agglutinating
8812,well-known
181915,ideograms
37761,guesses
402,lost
112055,explication
4837,separated
3854,informed
5933,signature
212294,independency
2960,behavior
56492,parametric
3309,gap
106788,nitpicking
7089,surprisingly
2876,represent
57857,nps
2064,generation
29747,pivot
74,over
14140,collaborative
93741,inuktitut
20302,trajectory
38811,implausible
7215,classification
7458,implementing
52488,bayesian
42675,impersonal
14585,extensions
3459,extend
34237,cognition
148363,obviating
26281,minimalist
2773,strongly
72508,estimations
24366,morphology
46828,co-workers
8804,dominance
3996,consequences
2367,ranked
73535,sls
2610,temple
2265,continuing
16563,notify
17072,mediated
2366,creating
1850,request
2881,document
139427,schemata
456,often
4246,traditionally
683,form
61512,nonverbal
1721,presence
4059,rank
4342,stem
6112,processes
3275,recognition
8543,identifying
3467,wish
1648,turkish
18911,gaze
6390,examined
67944,affix
12574,interact
865,manager
95586,maximization
2749,#
23515,undesirable
4810,efficient
87904,comparator
2065,pick
288037,passives
5297,assured
251877,kds
40,had
9534,matrix
1470,train
37023,weighting
7107,beliefs
2546,severe
11870,155
84413,trost
3682,typical
15282,applicable
13491,transforming
837,stop
4726,addressed
4431,framework
18951,copying
42167,transliterated
15078,metaphor
2078,combined
1057,records
